grid_point,pose,E_explicit_kcal,E_imp_cross_kcal,E_corrected_kcal,E_int_corrected_kcal
gp4,b0_rot180,-5909.628700624599,-4.961993390350051,-5904.666707234249,-4.446477001710264
gp4,b0_rot270,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp4,b1_rot0,-5886.713833480294,-14.480814574606093,-5872.2330189056875,27.98721132685114
gp4,b1_rot90,-5886.713833480294,-14.480814574606093,-5872.2330189056875,27.98721132685114
gp4,b1_rot180,-5886.713833480292,-14.480814574606093,-5872.233018905686,27.987211326852957
gp4,b1_rot270,-5886.713833480292,-14.480814574606093,-5872.233018905686,27.987211326852957
gp5,b0_rot0,-5909.628700624597,-4.961993390350051,-5904.666707234246,-4.446477001707535
gp5,b0_rot90,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp5,b0_rot180,-5909.628700624599,-4.961993390350051,-5904.666707234249,-4.446477001710264
gp5,b0_rot270,-5909.628700624596,-4.961993390350051,-5904.666707234245,-4.446477001706626
gp5,b1_rot0,-5886.713833480521,-14.480814574606093,-5872.233018905915,27.987211326623765
gp5,b1_rot90,-5886.713833480523,-14.480814574606093,-5872.233018905917,27.987211326621946
gp5,b1_rot180,-5886.713833480526,-14.480814574606093,-5872.233018905919,27.987211326619217
gp5,b1_rot270,-5886.713833480523,-14.480814574606093,-5872.233018905917,27.987211326621946
gp6,b0_rot0,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp6,b0_rot90,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp6,b0_rot180,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp6,b0_rot270,-5909.62870062006,-4.961993391691552,-5904.666707228368,-4.446476995829471
gp6,b1_rot0,-5886.713833417698,-14.480814576245747,-5872.233018841453,27.98721139108602
gp6,b1_rot90,-5886.71383339227,-14.480814576245747,-5872.233018816025,27.987211416513674
gp6,b1_rot180,-5886.713833365067,-14.480814576245747,-5872.233018788822,27.98721144371666
gp6,b1_rot270,-5886.7138333920475,-14.480814576245747,-5872.233018815802,27.9872114167365
gp7,b0_rot0,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp7,b0_rot90,-5909.628700620056,-4.961993391691552,-5904.666707228364,-4.446476995825833
gp7,b0_rot180,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp7,b0_rot270,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp7,b1_rot0,-5886.713833414019,-14.480814576245747,-5872.233018837774,27.987211394764927
gp7,b1_rot90,-5886.713833376546,-14.480814576245747,-5872.233018800301,27.987211432237928
gp7,b1_rot180,-5886.713833370373,-14.480814576245747,-5872.233018794128,27.987211438410668
gp7,b1_rot270,-5886.713833406144,-14.480814576245747,-5872.233018829898,27.98721140264024
gp8,b0_rot0,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp8,b0_rot90,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp8,b0_rot180,-5909.628700614045,-4.961993391691552,-5904.666707222353,-4.446476989814073
